,E(RB3LYP),Dipole Moment,Polarizability (a),Zero-point Energy Correction,"C=O stretch
Frequency","C=O stretch
Raman Activity","C=O stretch
Depolar-P","C2-H stretch
Frequency","C2-H stretch
Depolar-P",O NBO Charge,C2-O length,L,B1,B5,LUMO(chk),HOMO(chk),X=O(ONBO),X=O(CNBO),"C Length(X=O,CHO)",A_para,B_para
M19,-499.414704,4.826996,99.196,0.171576,1781.88,81.0742,0.2964,2995.01,0.2966,-0.542,1.22,6.76,1.75,6.69,0.02128,-0.2465,0,0,0,0.75,0.42
M20,-463.555153,3.387544,112.221333,0.192211,1773.06,86.7281,0.2792,2927.21,0.3051,-0.536,1.214,7.7,1.88,4.39,0.02192,-0.23665,0,0,0,0.56,0.16
M21,-574.610694,4.85786,105.11,0.175797,1785.15,73.4562,0.2624,2986.62,0.3091,-0.528,1.219,6.77,1.89,5.36,0.02379,-0.23255,0,0,0,0.53,0.16
M22,-615.926162,2.767991,139.447667,0.219462,1824.49,18.7232,0.2546,2921.26,0.383,-0.521,1.21,5.86,2.27,6.2,0.01122,-0.24396,0,0,0,0.68,0.39
M23,-691.147396,4.772669,147.896,0.224333,1781.26,77.1059,0.2916,2999.53,0.299,-0.543,1.22,6.76,1.99,8.52,0.02269,-0.24588,0,0,0,0.72,0.93
M24,-429.021298,2.415239,96.330667,0.255527,1829.08,6.3763,0.523,2888.05,0.3544,-0.535,1.212,7.52,1.93,5.64,0.01069,-0.26463,0,0,0,0.82,0.17
M25,-424.195052,2.43884,90.539333,0.166584,1831.46,8.5767,0.6838,2894.49,0.3433,-0.529,1.212,8.95,1.91,3.54,0.00718,-0.23816,0,0,0,0.77,0.56
M26,-947.439748,4.850279,161.397333,0.301905,1781.4,74.347,0.3035,2986.21,0.289,-0.542,1.22,6.76,2.09,7.99,0.02177,-0.24605,0,0,0,0.97,0.35
M27,-550.072256,2.203458,86.855333,0.112756,1807,80.2775,0.3525,2931.28,0.3125,-0.516,1.214,7.29,1.7,4.85,-0.1431,-0.28096,-0.377,0.054,3.76137,0.96,0.63
M28,-345.786542,3.008029,55.036333,0.122787,1828.73,5.4976,0.3879,2918.46,0.3537,-0.537,1.212,4.58,1.85,5.66,0.00563,-0.25566,-0.541,0.598,3.86981,0.47,0.69
M29,-515.587779,2.721616,77.029333,0.173177,1832.71,7.1122,0.517,2913.08,0.3474,-0.528,1.211,6.72,1.9,4.63,-0.12886,-0.27502,-0.38,0.091,3.91265,0.58,0.48
